nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0001008	Frank Capra	1897	1991	director,writer,producer	tt0030993,tt0031679,tt0038650,tt0025316
nm0593775	Thomas Mitchell	1892	1962	actor,writer,soundtrack	tt0031381,tt0038650,tt0031971,tt0031679
nm0000859	Lionel Barrymore	1878	1954	actor,director,soundtrack	tt0030993,tt0021885,tt0040506,tt0038650
nm0001656	Donna Reed	1921	1986	actress,soundtrack	tt0051267,tt0077000,tt0045793,tt0038650
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0032904,tt0031679,tt0052561,tt0052357
nm0933858	Michael Wilson	1914	1978	writer	tt0056172,tt0044314,tt0050212,tt0043924
nm8885840	Jung Jae-il	\N	\N	composer,music_department,soundtrack	tt6751668,tt3967856,tt10919420,tt3303728
nm11306825	Moon Yang Kwon	\N	\N	producer	tt6751668
nm10113618	Kwak Sin-ae	\N	\N	producer,actress	tt1305131,tt6273736,tt7243750,tt6751668
nm8243301	Han Jin-won	\N	\N	assistant_director,writer,script_department	tt7156436,tt6751668,tt3967856,tt10305932
nm0094435	Bong Joon Ho	1969	\N	writer,producer,director	tt3967856,tt1706620,tt6751668,tt1216496
nm6079248	Choi Woo-sik	1990	\N	actor,soundtrack	tt6751668,tt5700672,tt4120598,tt3967856
nm1856097	Cho Yeo-jeong	1981	\N	actress	tt6751668,tt3303730,tt2544120,tt1905059
nm1310525	Lee Sun-kyun	1975	\N	actor	tt1515205,tt3697626,tt15758760,tt6751668
nm0814280	Song Kang-ho	1967	\N	actor	tt0353969,tt0468492,tt1706620,tt6751668
nm0393240	Hong Kyung-pyo	\N	\N	cinematographer,director,writer	tt1706620,tt6751668,tt7282468,tt5215952
nm1490949	Michel Litvak	\N	\N	producer,executive	tt0780504,tt1781922,tt2582802,tt2872718
nm0484123	David Lancaster	\N	\N	producer,actor,assistant_director	tt2582802,tt2872718,tt2057392,tt0780504
nm2615685	Helen Estabrook	\N	\N	producer,miscellaneous,director	tt4577466,tt5610554,tt2582802
nm0089658	Jason Blum	1969	\N	producer,executive	tt1051906,tt5052448,tt2582802,tt7349662
nm3227090	Damien Chazelle	1985	\N	producer,writer,director	tt2582802,tt1179933,tt1213641,tt3783958
nm0001663	Paul Reiser	1956	\N	actor,writer,producer	tt0090605,tt0103484,tt2582802,tt0086960
nm2552034	Melissa Benoist	1988	\N	actress,soundtrack,director	tt4016454,tt4572514,tt6521876,tt2582802
nm0799777	J.K. Simmons	1955	\N	actor,soundtrack	tt2582802,tt0145487,tt3783958,tt0467406
nm1886602	Miles Teller	1987	\N	actor,producer,soundtrack	tt2908446,tt1502712,tt2582802,tt1714206
nm3225654	Justin Hurwitz	1985	\N	writer,soundtrack,producer	tt3783958,tt2582802,tt1337193,tt1213641
nm1552771	Laurent Zeitoun	\N	\N	writer,producer,miscellaneous	tt8354218,tt1465487,tt1675434,tt4686844
nm1457753	Nicolas Duval Adassovsky	\N	\N	producer,visual_effects,miscellaneous	tt5092380,tt4686844,tt1465487,tt1675434
nm4778840	Philippe Pozzo di Borgo	1951	\N	writer	tt1675434,tt6501498,tt0317001,tt0168275
nm0865918	Éric Toledano	1971	\N	writer,producer,director	tt8655470,tt1675434,tt1404082,tt5699154
nm0619923	Olivier Nakache	1973	\N	producer,director,writer	tt1675434,tt1404082,tt5699154,tt8655470
nm1109153	Audrey Fleurot	1977	\N	actress	tt1605783,tt1675434,tt1288631,tt0477507
nm0494504	Anne Le Ny	1962	\N	actress,writer,director	tt0969701,tt10696896,tt1675434,tt2474438
nm1082477	Omar Sy	1978	\N	actor,writer,producer	tt0369610,tt1675434,tt1877832,tt3371366
nm0167388	François Cluzet	1955	\N	actor,director,soundtrack	tt1675434,tt0098238,tt0113117,tt0362225
nm1133525	Yann Zenou	\N	\N	producer,production_manager,actor	tt1675434,tt1465487,tt5699154,tt4686844
nm0753083	Aaron Ryder	\N	\N	producer,miscellaneous,executive	tt0482571,tt2543164,tt0246578,tt1935179
nm1793993	Christopher Priest	1943	\N	writer	tt2145943,tt0482571,tt12531504,tt5715862
nm0424060	Scarlett Johansson	1984	\N	actress,soundtrack,producer	tt1798709,tt1441395,tt0848228,tt0335266
nm0413168	Hugh Jackman	1968	\N	actor,soundtrack,producer	tt1707386,tt0120903,tt0458525,tt3315342
nm0432382	David Julyan	\N	\N	composer,music_department,soundtrack	tt1259521,tt0482571,tt0278504,tt0209144
nm0340522	Brad Grey	1957	2017	producer,writer,miscellaneous	tt0407887,tt0120008,tt0103466,tt0141842
nm0159039	Felix Chong	1968	\N	writer,director,actor	tt0338564,tt1852904,tt1349853,tt7183578
nm0538320	Alan Mak	1965	\N	director,actor,writer	tt0369060,tt0374339,tt1349853,tt0338564
nm1184258	William Monahan	1960	\N	writer,producer,director	tt0320661,tt0407887,tt1213648,tt1226273
nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt1637725,tt0964517,tt0118749,tt0407887
nm0454752	Graham King	1961	\N	producer,executive	tt0970179,tt0840361,tt0407887,tt0338751
nm0764963	Alain Sarde	1952	\N	producer,actor,writer	tt1139328,tt0383694,tt0166924,tt0253474
nm0071452	Robert Benmussa	\N	\N	producer,actor,miscellaneous	tt1139328,tt0253474,tt0380599,tt0104779
nm0844262	Wladyslaw Szpilman	1911	2000	composer,music_department,writer	tt0253474,tt0098096,tt0208912,tt0153960
nm0367838	Ronald Harwood	1934	2020	writer,actor,producer	tt0260414,tt0253474,tt0455824,tt0401383
nm0000591	Roman Polanski	1933	\N	director,actor,writer	tt1139328,tt0074811,tt1692486,tt0071315
nm0288976	Emilia Fox	1974	\N	actress,producer	tt0460740,tt0253474,tt1235124,tt0349995
nm0277975	Frank Finlay	1926	2016	actor	tt0089489,tt0253474,tt0072281,tt0059555
nm0470981	Thomas Kretschmann	1962	\N	actor	tt0360717,tt0493464,tt0318627,tt0187738
nm0004778	Adrien Brody	1973	\N	actor,producer,soundtrack	tt2278388,tt1683526,tt1605783,tt0253474
nm0004384	Wojciech Kilar	1932	2013	composer,soundtrack,music_department	tt0103874,tt0120382,tt0142688,tt0253474
nm0629933	William Nicholson	1948	\N	producer,writer,director	tt0172495,tt0119125,tt1707386,tt1809398
nm0517589	John Logan	1961	\N	writer,producer,director	tt1192628,tt1074638,tt0338751,tt0408236
nm0291905	David Franzoni	1947	\N	writer,producer,director	tt0349683,tt0172495,tt0118607,tt0103973
nm0000631	Ridley Scott	1937	\N	producer,director,production_designer	tt0172495,tt0103074,tt3659388,tt0083658
nm0001657	Oliver Reed	1938	1999	actor,soundtrack	tt0080658,tt0063385,tt0078908,tt0172495
nm0001567	Connie Nielsen	1965	\N	actress,producer,writer	tt0172495,tt0265459,tt0264395,tt0451279
nm0001618	Joaquin Phoenix	1974	\N	actor,producer,soundtrack	tt1798709,tt1560747,tt0172495,tt0358273
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,director	tt1707386,tt0172495,tt0268978,tt0119488
nm0926824	Douglas Wick	\N	\N	producer,writer,executive	tt1343092,tt0172495,tt0418763,tt0397535
nm0338513	Gerald B. Greenberg	1936	2017	editor,editorial_department,music_department	tt0120586,tt0067116,tt0078788,tt0079417
nm0006050	Anne Dudley	1956	\N	composer,soundtrack,music_department	tt0104036,tt0119164,tt3716530,tt0375154
nm0554204	John Morrissey	\N	\N	actor,producer,writer	tt0331811,tt0285175,tt0120586,tt0118750
nm0571346	David McKenna	1968	\N	writer,producer	tt0120586,tt0460084,tt0257076,tt0208988
nm0443411	Tony Kaye	1952	\N	director,cinematographer,producer	tt0120586,tt0841119,tt1683526,tt3258298
nm0000497	Jennifer Lien	1974	\N	actress,producer,miscellaneous	tt0133189,tt0120586,tt0112178,tt0106100
nm0000350	Beverly D'Angelo	1951	\N	actress,soundtrack,producer	tt0120434,tt0097958,tt0120586,tt0085995
nm0374189	Alan Heim	1936	\N	editor,sound_department,music_department	tt0180052,tt0120586,tt0074958,tt0078754
nm0005875	Newton Thomas Sigel	1955	\N	cinematographer,camera_department,director	tt9777644,tt9130508,tt1727824,tt0780504
nm0653211	John Ottman	1964	\N	composer,music_department,producer	tt3799694,tt1877832,tt5171438,tt1727824
nm0568120	Michael McDonnell	\N	\N	producer,assistant_director,miscellaneous	tt0114814,tt0120008,tt0146336,tt0119141
nm0003160	Christopher McQuarrie	1968	\N	writer,producer,director	tt4912910,tt1631867,tt2381249,tt0114814
nm0001741	Bryan Singer	1965	\N	producer,director,actor	tt0120903,tt0348150,tt1877832,tt0114814
nm0000286	Stephen Baldwin	1966	\N	actor,producer,director	tt0486583,tt0158622,tt0115683,tt0114814
nm0001590	Chazz Palminteri	1952	\N	actor,writer,producer	tt0109348,tt0106489,tt0114814,tt0473488
nm0000321	Gabriel Byrne	1950	\N	actor,producer,writer	tt0100150,tt7784604,tt0146675,tt0114814
nm0191896	Howard Cummings	\N	\N	production_designer,producer,art_director	tt0480249,tt0475784,tt3272066,tt1291580
nm0917942	Dan Weil	\N	\N	production_designer,art_director,art_department	tt0258463,tt0100263,tt0119116,tt0365737
nm0484981	Sylvie Landra	\N	\N	editor,producer,editorial_department	tt0119116,tt0151137,tt0327554,tt0110413
nm0005636	Thierry Arbogast	1957	\N	cinematographer,camera_department	tt0119116,tt0110413,tt0228786,tt0100263
nm0785385	Éric Serra	1959	\N	music_department,composer,soundtrack	tt0110413,tt0119116,tt0113189,tt0095250
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt2872732,tt0110413,tt0100263,tt0119116
nm0000732	Danny Aiello	1933	2019	actor,producer,soundtrack	tt0093565,tt0110413,tt0102070,tt0097216
nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt0110413,tt0947798,tt0434409,tt0376541
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt4555426,tt1340800,tt0468569,tt0103874
nm0000606	Jean Reno	1948	\N	actor	tt0110413,tt0095250,tt0122690,tt0383216
nm0941314	Linda Woolverton	1952	\N	writer,producer,miscellaneous	tt0101414,tt0110357,tt1587310,tt2771200
nm0731271	Jonathan Roberts	\N	\N	writer,producer,miscellaneous	tt0116683,tt0198781,tt0110357,tt0116583
nm0575293	Irene Mecchi	1949	\N	writer,script_department,miscellaneous	tt0116583,tt0119282,tt0110357,tt1217209
nm0591450	Rob Minkoff	1962	\N	producer,director,animation_department	tt0110357,tt0338094,tt0865556,tt0243585
nm0021249	Roger Allers	1949	\N	art_department,writer,director	tt0103639,tt0084827,tt0110357,tt0101414
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0108147,tt0088939,tt0099653,tt0105417
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt0099810,tt0094898,tt6105098,tt3748528
nm0000460	Jeremy Irons	1948	\N	actor,soundtrack,producer	tt2975590,tt2094766,tt0110357,tt0094964
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0126886,tt0091042,tt0086567,tt0395251
nm0560329	Burny Mattinson	1935	\N	writer,animation_department,art_department	tt0101414,tt0114148,tt0103639,tt0091149
nm0738603	Giovanna Romagnoli	\N	\N	producer	tt0093664,tt0103243,tt0095765,tt0094841
nm0188053	Franco Cristaldi	1924	1992	producer,writer,miscellaneous	tt0058564,tt0095765,tt0052216,tt0091605
nm0660031	Vanna Paoli	\N	\N	director,writer,editor	tt0183443,tt0200050,tt0244379,tt0095765
nm0868153	Giuseppe Tornatore	1956	\N	writer,director,actor	tt0213847,tt0095765,tt1924396,tt0120731
nm0199774	Isa Danieli	1937	\N	actress,assistant_director,soundtrack	tt0107225,tt0095765,tt0090871,tt0070061
nm0041066	Antonella Attili	1963	\N	actress,production_manager	tt10413566,tt0207676,tt0095765,tt11576938
nm0134073	Enzo Cannavale	1928	2011	actor	tt0076544,tt0073726,tt0095765,tt0135740
nm0634159	Philippe Noiret	1930	2006	actor,soundtrack,miscellaneous	tt0095765,tt0110877,tt0082206,tt0065112
nm0005721	Blasco Giurato	1941	\N	cinematographer,camera_department	tt0140332,tt4736486,tt0110917,tt0095765
nm0468710	Nobuo Koyama	\N	\N	cinematographer,camera_department	tt0088334,tt0091309,tt0081954,tt0095327
nm2197915	Michio Mamiya	1929	\N	composer,music_department	tt2317467,tt1379645,tt0063668,tt0095327
nm0361701	Tôru Hara	1935	\N	producer,production_manager,animation_department	tt0095327,tt0087544,tt0092067,tt0102587
nm0636435	Akiyuki Nosaka	1930	2015	writer,actor	tt0095327,tt2531252,tt0139864,tt0219359
nm0847223	Isao Takahata	1935	2018	director,writer,miscellaneous	tt0102587,tt0110008,tt2576852,tt0095327
nm0794002	Yoshiko Shinohara	\N	\N	actress	tt0496467,tt0095327,tt0182601,tt3042074
nm0945312	Akemi Yamaguchi	\N	\N	actress	tt0285972,tt0285971,tt0285187,tt0095327
nm0794186	Ayano Shiraishi	\N	\N	actress	tt0095327
nm0851302	Tsutomu Tatsumi	\N	\N	actor	tt0095327
nm0786707	Takeshi Seyama	\N	\N	editor,editorial_department,miscellaneous	tt0094625,tt0119698,tt0102587,tt0851578
nm0005678	Dean Cundey	1946	\N	cinematographer,camera_department,miscellaneous	tt0112384,tt0096438,tt0082340,tt0107290
nm0006293	Alan Silvestri	1950	\N	composer,soundtrack,music_department	tt0458339,tt0109830,tt0338348,tt4154796
nm0134635	Neil Canton	1948	\N	producer,miscellaneous	tt0165832,tt0088763,tt0113845,tt0208988
nm0301826	Bob Gale	1951	\N	writer,director,producer	tt0165832,tt0096874,tt0099088,tt0088763
nm0000417	Crispin Glover	1964	\N	actor,soundtrack,producer	tt1898069,tt0310357,tt0118141,tt0091860
nm0000670	Lea Thompson	1961	\N	actress,producer,director	tt1758772,tt1727381,tt5039578,tt0088763
nm0000502	Christopher Lloyd	1938	\N	actor,soundtrack	tt0088930,tt0088763,tt0096438,tt0106220
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0096874,tt0088763,tt0116365,tt0115369
nm0004637	Harry Keramidas	1940	\N	editor,editorial_department,sound_department	tt0096874,tt0118884,tt0088763,tt0113492
nm0041447	Kim Aubry	\N	\N	production_manager,producer,director	tt0119978,tt0078788,tt0086066,tt0103874
nm0175676	Joseph Conrad	1857	1924	writer	tt0020323,tt0018332,tt0028212,tt10644372
nm0380282	Michael Herr	1940	2016	writer,producer,miscellaneous	tt0078788,tt0801820,tt0119978,tt0093058
nm0587518	John Milius	1944	\N	writer,producer,director	tt0082198,tt0078788,tt0087985,tt0068762
nm0002078	Frederic Forrest	1936	\N	actor	tt0096639,tt0071360,tt0106856,tt0078788
nm0000640	Martin Sheen	1940	\N	actor,producer,soundtrack	tt0069762,tt0407887,tt0078788,tt1441912
nm0178874	Carmine Coppola	1910	1991	soundtrack,composer,music_department	tt0099674,tt0071562,tt0078788,tt0068646
nm0318429	David Giler	1943	2020	producer,writer,actor	tt0103644,tt0090605,tt0118583,tt0370263
nm0140826	Gordon Carroll	1928	2005	producer,miscellaneous	tt0090605,tt0370263,tt0118583,tt0078748
nm0795953	Ronald Shusett	1935	\N	writer,producer,miscellaneous	tt0090605,tt0078748,tt0100802,tt1386703
nm0639321	Dan O'Bannon	1946	2009	writer,miscellaneous,actor	tt0089907,tt0069945,tt0078748,tt0090605
nm0001021	Veronica Cartwright	1949	\N	actress,soundtrack	tt0056869,tt0077745,tt0078748,tt0094332
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt0077928,tt0080678,tt0087803,tt0078748
nm0000643	Tom Skerritt	1933	\N	actor,director,producer	tt0078748,tt0118884,tt0098384,tt0092099
nm0000244	Sigourney Weaver	1949	\N	actress,soundtrack,producer	tt0078748,tt0118583,tt0499549,tt0095243
nm0001353	Walter Hill	1942	\N	producer,writer,director	tt0088194,tt0083511,tt0103644,tt0090605
nm0607694	Fulvio Morsella	\N	2002	producer,writer	tt0070215,tt0067140,tt0059578,tt0064116
nm0000934	Bernardo Bertolucci	1941	2018	writer,director,producer	tt0070849,tt0065571,tt0093389,tt0117737
nm0000783	Dario Argento	1940	\N	writer,director,producer	tt0087909,tt0093677,tt0065143,tt0073582
nm0006872	Sergio Donati	1933	\N	writer,actor,assistant_director	tt0064116,tt0091828,tt0076504,tt0067140
nm0001673	Jason Robards	1922	2000	actor,soundtrack	tt0175880,tt0074119,tt0098067,tt0064116
nm0001012	Claudia Cardinale	1938	\N	actress,soundtrack	tt0064116,tt0057413,tt0056801,tt0083946
nm0000314	Charles Bronson	1921	2003	actor	tt0054047,tt0057115,tt0071402,tt0064116
nm0005852	John L. Russell	1905	1967	cinematographer,camera_department,sound_department	tt0048150,tt0054215,tt0045395,tt0043778
nm0002136	Bernard Herrmann	1911	1975	music_department,composer,soundtrack	tt0033467,tt0054215,tt0075314,tt0052357
nm0088645	Robert Bloch	1917	1994	writer	tt0086154,tt0054215,tt0155975,tt0060028
nm0825010	Joseph Stefano	1922	2006	miscellaneous,writer,producer	tt0056777,tt0155975,tt0054215,tt0092455
nm0000033	Alfred Hitchcock	1899	1980	director,producer,writer	tt0052357,tt0040746,tt0054215,tt0053125
nm0001260	John Gavin	1931	2018	actor,soundtrack	tt0054331,tt0054215,tt0062362,tt0052296
nm0587256	Vera Miles	1929	\N	actress,soundtrack	tt0054215,tt0051207,tt0049730,tt0056217
nm0001463	Janet Leigh	1927	2004	actress,soundtrack,miscellaneous	tt0080749,tt0052311,tt0054215,tt0056218
nm0000578	Anthony Perkins	1932	1992	actor,soundtrack,director	tt0091799,tt0054215,tt0078869,tt0086154
nm0866462	George Tomasini	1909	1964	editor,editorial_department,sound_department	tt0058329,tt0054387,tt0048728,tt0053125
nm0122079	Robert Burks	1909	1968	cinematographer,special_effects,editorial_department	tt0052357,tt0048728,tt0044079,tt0047396
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0034248,tt0043014,tt0026138,tt0032976
nm0941280	Cornell Woolrich	1903	1968	writer	tt0042046,tt0218922,tt0105994,tt0047396
nm0371088	John Michael Hayes	1919	2008	writer,producer	tt0047396,tt0048728,tt0048750,tt0049470
nm0728812	Thelma Ritter	1902	1969	actress,soundtrack	tt0042192,tt0043792,tt0046187,tt0047396
nm0179819	Wendell Corey	1914	1968	actor,soundtrack	tt0060074,tt0047396,tt0040765,tt0061203
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0047396,tt0046912,tt0048728,tt0046874
nm0122417	Murray Burnett	1910	1997	writer,director	tt0034583,tt0047719,tt0044265,tt0042115
nm0462321	Howard Koch	1901	1995	writer,actor,producer	tt0034167,tt0034583,tt0062990,tt0040536
nm0258525	Philip G. Epstein	1909	1952	writer,producer	tt0029303,tt0037094,tt0036613,tt0034583
nm0258493	Julius J. Epstein	1909	2000	writer,producer	tt0036613,tt0069080,tt0034583,tt0084591
nm0002031	Michael Curtiz	1886	1962	director,writer,actor	tt0029843,tt0026174,tt0037913,tt0034583
nm0001647	Claude Rains	1889	1967	actor,soundtrack	tt0029843,tt0034583,tt0031679,tt0024184
nm0002134	Paul Henreid	1908	1992	director,actor,producer	tt0038108,tt0040444,tt0035140,tt0034583
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0038109,tt0036855,tt0034583,tt0077711
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0042593,tt0034583,tt0037382,tt0043265
nm0019706	Joan Alison	1901	1992	writer	tt0034583,tt0044261,tt0044265,tt0047719
nm0090008	Stanley Blystone	1894	1956	actor	tt0029672,tt0027977,tt0023013,tt0040333
nm0003424	Hank Mann	1887	1971	actor,director,writer	tt0021749,tt0403878,tt0027977,tt0032553
nm0174682	Chester Conklin	1886	1971	actor	tt0032553,tt0004707,tt0016812,tt0027977
nm0005906	Roland Totheroh	1890	1967	cinematographer,actor,camera_department	tt0032553,tt0021749,tt0015864,tt0027977
nm0005806	Ira H. Morgan	1889	1959	cinematographer,camera_department,actor	tt0025424,tt0024727,tt0027977,tt0043570
nm0761866	Tiny Sandford	1894	1961	actor	tt0022251,tt0027977,tt0018773,tt0020030
nm0074788	Henry Bergman	1868	1946	actor,assistant_director,miscellaneous	tt0021749,tt0015864,tt0027977,tt0018773
nm0002104	Paulette Goddard	1910	1990	actress,soundtrack,producer	tt0027977,tt0032520,tt0033722,tt0037849
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0021749,tt0032553,tt0027977,tt0044837
nm0305087	Al Ernest Garcia	1887	1938	actor,casting_director,miscellaneous	tt0018773,tt0027977,tt0187452,tt0021749
nm0689661	Gordon Pollock	1897	1962	cinematographer,camera_department,miscellaneous	tt0020298,tt0141659,tt0021749,tt0045902
nm0188357	Harry Crocker	1893	1958	actor,miscellaneous,assistant_director	tt0018773,tt0024073,tt0018357,tt0021749
nm0139714	Harry Carr	1877	1936	writer,actor,miscellaneous	tt0134704,tt0019495,tt0018711,tt0011406
nm0616729	Harry Myers	1882	1938	actor,director,writer	tt0021749,tt1204019,tt0012881,tt0012067
nm5681967	Florence Lee	1864	1933	actress,writer	tt0013694,tt0021749,tt0015820,tt0016381
nm0156039	Virginia Cherrill	1908	1996	actress	tt0021749,tt0021793,tt0025985,tt0027201
nm1848588	Khaled Mouzanar	\N	\N	composer,music_department,soundtrack	tt8267604,tt0825236,tt1772424,tt1456606
nm2759610	Georges Khabbaz	\N	\N	actor,writer,director	tt1094275,tt8267604,tt3381858,tt2552296
nm9878616	Michelle Keserwany	\N	\N	writer	tt8267604
nm2764802	Jihad Hojeily	\N	\N	writer	tt1772424,tt0825236,tt8267604
nm1701024	Nadine Labaki	1974	\N	actress,writer,director	tt0825236,tt1772424,tt22804850,tt8267604
nm10201625	Kawsar Al Haddad	\N	\N	actress	tt8267604
nm9862860	Boluwatife Treasure Bankole	\N	\N	actor	tt8267604
nm9862859	Yordanos Shiferaw	\N	\N	actress	tt8267604
nm9862858	Zain Al Rafeea	2004	\N	actor	tt9032400,tt22804850,tt8267604,tt0380100
nm4752699	Michel Merkt	1972	\N	producer,miscellaneous	tt2762506,tt8267604,tt4048272,tt3716530
nm1047603	Jerry Robinson	1922	2011	writer,miscellaneous,art_department	tt0468569,tt8656622,tt11315808,tt7286456
nm0277730	Bill Finger	1914	1974	writer,miscellaneous	tt7286456,tt0974015,tt12361974,tt1877830
nm0798788	Scott Silver	\N	\N	writer,director,producer	tt0964517,tt0116714,tt7286456,tt0120757
nm0680846	Todd Phillips	1970	\N	producer,writer,director	tt1231583,tt0302886,tt7286456,tt0215129
nm0175814	Frances Conroy	1953	\N	actress,soundtrack	tt0248654,tt0338751,tt0327554,tt7286456
nm5939164	Zazie Beetz	1991	\N	actress	tt5463162,tt10451852,tt7286456,tt4288182
nm0177896	Bradley Cooper	1975	\N	actor,producer,soundtrack	tt1800241,tt1517451,tt1045658,tt2179136
nm2929057	Genki Kawamura	\N	\N	producer,writer,miscellaneous	tt9426210,tt18395238,tt5311514,tt1590089
nm3356206	Noritaka Kawaguchi	\N	\N	producer	tt5311514,tt2591814,tt9426210,tt0983213
nm5147232	Kôichirô Itô	\N	\N	producer,director,writer	tt1839494,tt9426210,tt2591814,tt5311514
nm1038805	Clark Cheng	\N	\N	miscellaneous,writer,production_manager	tt2321405,tt0388473,tt5311514,tt0102293
nm1396121	Makoto Shinkai	1973	\N	writer,art_department,director	tt9426210,tt5311514,tt2591814,tt0381348
nm2976492	Aoi Yûki	1992	\N	actress,music_department,soundtrack	tt5311514,tt5249462,tt4727580,tt5323662
nm6954008	Ryô Narita	1993	\N	actor	tt9827784,tt5311514,tt9770716,tt11147106
nm4759838	Mone Kamishiraishi	1998	\N	actress	tt9426210,tt2140203,tt2909724,tt5311514
nm1126340	Ryûnosuke Kamiki	1993	\N	actor	tt1568921,tt5311514,tt1474276,tt0245429
nm8823532	Katsuhiro Takei	\N	\N	producer,miscellaneous	tt3398540,tt5311514,tt21216104,tt3138698
nm0032696	Avi Arad	1948	\N	producer,writer,music_department	tt0120903,tt0145487,tt4633694,tt5108870
nm0520488	Phil Lord	1975	\N	producer,writer,director	tt3513498,tt1490017,tt4633694,tt0305011
nm0745247	Rodney Rothman	\N	\N	writer,producer,director	tt4633694,tt3960412,tt2294449,tt0800039
nm0709056	Peter Ramsey	1962	\N	art_department,director,producer	tt4633694,tt1446192,tt0298814,tt0181689
nm2130108	Bob Persichetti	\N	\N	animation_department,art_department,director	tt1754656,tt0448694,tt4633694,tt0298148
nm0991810	Mahershala Ali	1974	\N	actor,producer	tt3322314,tt1817273,tt0421715,tt1856010
nm2794962	Hailee Steinfeld	1996	\N	actress,producer,soundtrack	tt1403865,tt4701182,tt4765284,tt1878870
nm2159926	Jake Johnson	1978	\N	actor,producer,writer	tt0369610,tt1826940,tt4633694,tt1862079
nm4271336	Shameik Moore	1995	\N	actor,soundtrack	tt3850214,tt5500218,tt4592410,tt4633694
nm0588087	Christopher Miller	1975	\N	producer,writer,director	tt0305011,tt4633694,tt1490017,tt12614214
nm0498278	Stan Lee	1922	2018	producer,writer,actor	tt2250912,tt1211837,tt1825683,tt3896198
nm1321656	Stephen McFeely	1970	\N	writer,producer,actor	tt4154756,tt4154796,tt0458339,tt3498820
nm1321655	Christopher Markus	1970	\N	writer,producer,actor	tt4154756,tt3498820,tt4154796,tt0458339
nm0751648	Joe Russo	1971	\N	producer,director,writer	tt1843866,tt6710474,tt4154796,tt4154756
nm0751577	Anthony Russo	1970	\N	producer,director,writer	tt1843866,tt4154756,tt3498820,tt4154796
nm1165110	Chris Hemsworth	1983	\N	actor,producer,soundtrack	tt3501632,tt1735898,tt0848228,tt0796366
nm0749263	Mark Ruffalo	1967	\N	actor,producer,soundtrack	tt1100089,tt0842926,tt1895587,tt0848228
nm0262635	Chris Evans	1981	\N	actor,producer,soundtrack	tt0458339,tt2395427,tt0848228,tt3498820
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt0848228,tt0988045,tt1300854,tt0371746
nm0456158	Jack Kirby	1917	1994	writer,animation_department,miscellaneous	tt1825683,tt4154796,tt0371746,tt1641384
nm0026565	Darla K. Anderson	1968	\N	producer,visual_effects,miscellaneous	tt0435761,tt2380307,tt0317219,tt0198781
nm0017690	Matthew Aldrich	\N	\N	writer,producer,actor	tt10298810,tt2380307,tt0896798,tt5616294
nm0441735	Jason Katz	\N	\N	animation_department,art_department,writer	tt2380307,tt1049413,tt0120623,tt0114709
nm2937122	Adrian Molina	\N	\N	miscellaneous,writer,director	tt1979388,tt2380307,tt8097030,tt10298810
nm0881279	Lee Unkrich	1967	\N	editorial_department,editor,miscellaneous	tt2380307,tt0120363,tt0435761,tt0266543
nm0005513	Alanna Ubach	1975	\N	actress,soundtrack,producer	tt8772296,tt2380307,tt6394270,tt2817246
nm0000973	Benjamin Bratt	1963	\N	actor,producer,director	tt0106697,tt0181865,tt0212346,tt2380307
nm0305558	Gael García Bernal	1978	\N	actor,producer,writer	tt3502172,tt0245712,tt0245574,tt0318462
nm5645519	Anthony Gonzalez	2004	\N	actor,soundtrack	tt12693278,tt6341668,tt2380307,tt4364202
nm0315974	Michael Giacchino	1967	\N	composer,soundtrack,music_department	tt0796366,tt3748528,tt1485814,tt0382932
nm0724744	Robert Richardson	1955	\N	cinematographer,camera_department,miscellaneous	tt0338751,tt0361748,tt0266697,tt7131622
nm0792049	Stacey Sher	1962	\N	producer,actress	tt1853728,tt0195685,tt0119177,tt0259711
nm0767894	Pilar Savone	\N	\N	producer,assistant_director,miscellaneous	tt0137363,tt1853728,tt1028528,tt1077258
nm0399737	Reginald Hudlin	1961	\N	producer,director,writer	tt0116707,tt5301662,tt1853728,tt0099800
nm0913488	Kerry Washington	1977	\N	actress,producer,soundtrack	tt1837576,tt0350258,tt1853728,tt0206275
nm0910607	Christoph Waltz	1956	\N	actor,director,soundtrack	tt1853728,tt1692486,tt0361748,tt2333804
