tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0095016	movie	Die Hard	Die Hard	0	1988	\N	132	Action,Thriller
tt0096283	movie	My Neighbor Totoro	Tonari no Totoro	0	1988	\N	86	Animation,Comedy,Family
tt0097576	movie	Indiana Jones and the Last Crusade	Indiana Jones and the Last Crusade	0	1989	\N	127	Action,Adventure
tt0105695	movie	Unforgiven	Unforgiven	0	1992	\N	130	Drama,Western
tt0107207	movie	In the Name of the Father	In the Name of the Father	0	1993	\N	133	Biography,Crime,Drama
tt0107290	movie	Jurassic Park	Jurassic Park	0	1993	\N	127	Action,Adventure,Sci-Fi
tt0112471	movie	Before Sunrise	Before Sunrise	0	1995	\N	101	Drama,Romance
tt0112641	movie	Casino	Casino	0	1995	\N	178	Crime,Drama
tt0113277	movie	Heat	Heat	0	1995	\N	170	Action,Crime,Drama
tt0116282	movie	Fargo	Fargo	0	1996	\N	98	Crime,Thriller
tt0117951	movie	Trainspotting	Trainspotting	0	1996	\N	93	Drama
tt0118849	movie	Children of Heaven	Bacheha-Ye aseman	0	1997	\N	89	Drama,Family,Sport
tt0119488	movie	L.A. Confidential	L.A. Confidential	0	1997	\N	138	Crime,Drama,Mystery
tt0120382	movie	The Truman Show	The Truman Show	0	1998	\N	103	Comedy,Drama
tt0120735	movie	Lock, Stock and Two Smoking Barrels	Lock, Stock and Two Smoking Barrels	0	1998	\N	107	Action,Comedy,Crime
tt0167404	movie	The Sixth Sense	The Sixth Sense	0	1999	\N	107	Drama,Mystery,Thriller
tt0208092	movie	Snatch	Snatch	0	2000	\N	104	Comedy,Crime
tt0211915	movie	Amélie	Le fabuleux destin d'Amélie Poulain	0	2001	\N	122	Comedy,Romance
tt0264464	movie	Catch Me If You Can	Catch Me If You Can	0	2002	\N	141	Biography,Crime,Drama
tt0266543	movie	Finding Nemo	Finding Nemo	0	2003	\N	100	Adventure,Animation,Comedy
tt0266697	movie	Kill Bill: Vol. 1	Kill Bill: Vol. 1	0	2003	\N	111	Action,Crime,Drama
tt0268978	movie	A Beautiful Mind	A Beautiful Mind	0	2001	\N	135	Biography,Drama
tt0347149	movie	Howl's Moving Castle	Hauru no ugoku shiro	0	2004	\N	119	Adventure,Animation,Family
tt0353969	movie	Memories of Murder	Salinui chueok	0	2003	\N	131	Crime,Drama,Mystery
tt0363163	movie	Downfall	Der Untergang	0	2004	\N	156	Biography,Drama,History
tt0372784	movie	Batman Begins	Batman Begins	0	2005	\N	140	Action,Crime,Drama
tt0405159	movie	Million Dollar Baby	Million Dollar Baby	0	2004	\N	132	Drama,Sport
tt0434409	movie	V for Vendetta	V for Vendetta	0	2005	\N	132	Action,Drama,Sci-Fi
tt0457430	movie	Pan's Labyrinth	El laberinto del fauno	0	2006	\N	118	Drama,Fantasy,War
tt0469494	movie	There Will Be Blood	There Will Be Blood	0	2007	\N	158	Drama
tt0477348	movie	No Country for Old Men	No Country for Old Men	0	2007	\N	122	Crime,Drama,Thriller
tt0986264	movie	Like Stars on Earth	Taare Zameen Par	0	2007	\N	165	Drama,Family
tt0993846	movie	The Wolf of Wall Street	The Wolf of Wall Street	0	2013	\N	180	Biography,Comedy,Crime
tt10272386	movie	The Father	The Father	0	2020	\N	97	Drama,Mystery
tt1049413	movie	Up	Up	0	2009	\N	96	Adventure,Animation,Comedy
tt10872600	movie	Spider-Man: No Way Home	Spider-Man: No Way Home	0	2021	\N	148	Action,Adventure,Fantasy
tt1130884	movie	Shutter Island	Shutter Island	0	2010	\N	138	Mystery,Thriller
tt1201607	movie	Harry Potter and the Deathly Hallows: Part 2	Harry Potter and the Deathly Hallows: Part 2	0	2011	\N	130	Adventure,Family,Fantasy
tt1205489	movie	Gran Torino	Gran Torino	0	2008	\N	116	Drama
tt1255953	movie	Incendies	Incendies	0	2010	\N	131	Drama,Mystery
tt1291584	movie	Warrior	Warrior	0	2011	\N	140	Action,Drama,Sport
tt1305806	movie	The Secret in Their Eyes	El secreto de sus ojos	0	2009	\N	129	Drama,Mystery,Romance
tt1392190	movie	Mad Max: Fury Road	Mad Max: Fury Road	0	2015	\N	120	Action,Adventure,Sci-Fi
tt1392214	movie	Prisoners	Prisoners	0	2013	\N	153	Crime,Drama,Mystery
tt1832382	movie	A Separation	Jodaeiye Nader az Simin	0	2011	\N	123	Drama
tt2024544	movie	12 Years a Slave	12 Years a Slave	0	2013	\N	134	Biography,Drama,History
tt2096673	movie	Inside Out	Inside Out	0	2015	\N	95	Adventure,Animation,Comedy
tt2119532	movie	Hacksaw Ridge	Hacksaw Ridge	0	2016	\N	139	Biography,Drama,History
tt2267998	movie	Gone Girl	Gone Girl	0	2014	\N	149	Drama,Mystery,Thriller
tt2278388	movie	The Grand Budapest Hotel	The Grand Budapest Hotel	0	2014	\N	99	Adventure,Comedy,Crime
tt3011894	movie	Wild Tales	Relatos salvajes	0	2014	\N	122	Comedy,Drama,Thriller
tt3170832	movie	Room	Room	0	2015	\N	118	Drama,Thriller
tt4729430	movie	Klaus	Klaus	0	2019	\N	96	Adventure,Animation,Comedy
tt5027774	movie	Three Billboards Outside Ebbing, Missouri	Three Billboards Outside Ebbing, Missouri	0	2017	\N	115	Comedy,Crime,Drama
tt5074352	movie	Dangal	Dangal	0	2016	\N	161	Action,Biography,Drama
tt6966692	movie	Green Book	Green Book	0	2018	\N	130	Biography,Comedy,Drama
tt8503618	movie	Hamilton	Hamilton	0	2020	\N	160	Biography,Drama,History
tt8579674	movie	1917	1917	0	2019	\N	119	Action,Drama,War
